NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",732,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",703,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",1470,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",1295,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",799,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",832,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",563,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",277,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",2290,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",1108,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",665,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",1192,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",838,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",1162,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",1286,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",1361,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",1088,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",552,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",772,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",1464,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",440,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",545,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",1337,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",1642,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",1022,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",455,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",1547,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",2060,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",800,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",890,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",474,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",2281,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",1367,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",974,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",1131,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",572,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",1287,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",1387,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",1383,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",1393,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",1000,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",461,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",1625,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",2032,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",854,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",466,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",480,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",558,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",902,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",901,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",1053,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",1314,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",1250,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",1110,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",524,17,031,062500,2019
"Census Tract 631, Cook County, Illinois",773,17,031,063100,2019
"Census Tract 632, Cook County, Illinois",2306,17,031,063200,2019
"Census Tract 602, Cook County, Illinois",721,17,031,060200,2019
"Census Tract 610, Cook County, Illinois",830,17,031,061000,2019
"Census Tract 624, Cook County, Illinois",582,17,031,062400,2019
"Census Tract 605, Cook County, Illinois",299,17,031,060500,2019
"Census Tract 609, Cook County, Illinois",2470,17,031,060900,2019
"Census Tract 612, Cook County, Illinois",701,17,031,061200,2019
"Census Tract 615, Cook County, Illinois",763,17,031,061500,2019
"Census Tract 629, Cook County, Illinois",1513,17,031,062900,2019
"Census Tract 630, Cook County, Illinois",1215,17,031,063000,2019
"Census Tract 628, Cook County, Illinois",1295,17,031,062800,2019
"Census Tract 634, Cook County, Illinois",958,17,031,063400,2019
"Census Tract 8319, Cook County, Illinois",1159,17,031,831900,2020
"Census Tract 8320, Cook County, Illinois",552,17,031,832000,2020
"Census Tract 8321, Cook County, Illinois",1153,17,031,832100,2020
"Census Tract 601, Cook County, Illinois",993,17,031,060100,2020
"Census Tract 602, Cook County, Illinois",831,17,031,060200,2020
"Census Tract 603, Cook County, Illinois",978,17,031,060300,2020
"Census Tract 604, Cook County, Illinois",1341,17,031,060400,2020
"Census Tract 605, Cook County, Illinois",343,17,031,060500,2020
"Census Tract 608, Cook County, Illinois",1883,17,031,060800,2020
"Census Tract 609, Cook County, Illinois",2534,17,031,060900,2020
"Census Tract 610, Cook County, Illinois",782,17,031,061000,2020
"Census Tract 611, Cook County, Illinois",591,17,031,061100,2020
"Census Tract 612, Cook County, Illinois",833,17,031,061200,2020
"Census Tract 615, Cook County, Illinois",747,17,031,061500,2020
"Census Tract 618, Cook County, Illinois",540,17,031,061800,2020
"Census Tract 619.01, Cook County, Illinois",1197,17,031,061901,2020
"Census Tract 619.02, Cook County, Illinois",1821,17,031,061902,2020
"Census Tract 620, Cook County, Illinois",1324,17,031,062000,2020
"Census Tract 621, Cook County, Illinois",1341,17,031,062100,2020
"Census Tract 622, Cook County, Illinois",1124,17,031,062200,2020
"Census Tract 623, Cook County, Illinois",427,17,031,062300,2020
"Census Tract 624, Cook County, Illinois",601,17,031,062400,2020
"Census Tract 625, Cook County, Illinois",527,17,031,062500,2020
"Census Tract 626, Cook County, Illinois",688,17,031,062600,2020
"Census Tract 627, Cook County, Illinois",983,17,031,062700,2020
"Census Tract 628, Cook County, Illinois",1247,17,031,062800,2020
"Census Tract 629, Cook County, Illinois",1461,17,031,062900,2020
"Census Tract 630, Cook County, Illinois",1510,17,031,063000,2020
"Census Tract 631, Cook County, Illinois",877,17,031,063100,2020
"Census Tract 632, Cook County, Illinois",2542,17,031,063200,2020
"Census Tract 633.01, Cook County, Illinois",1076,17,031,063301,2020
"Census Tract 633.02, Cook County, Illinois",1501,17,031,063302,2020
"Census Tract 633.03, Cook County, Illinois",414,17,031,063303,2020
"Census Tract 634, Cook County, Illinois",875,17,031,063400,2020
"Census Tract 601, Cook County, Illinois",1022,17,031,060100,2021
"Census Tract 602, Cook County, Illinois",799,17,031,060200,2021
"Census Tract 603, Cook County, Illinois",1033,17,031,060300,2021
"Census Tract 604, Cook County, Illinois",1291,17,031,060400,2021
"Census Tract 605, Cook County, Illinois",373,17,031,060500,2021
"Census Tract 608, Cook County, Illinois",1738,17,031,060800,2021
"Census Tract 609, Cook County, Illinois",2732,17,031,060900,2021
"Census Tract 610, Cook County, Illinois",859,17,031,061000,2021
"Census Tract 611, Cook County, Illinois",531,17,031,061100,2021
"Census Tract 612, Cook County, Illinois",866,17,031,061200,2021
"Census Tract 615, Cook County, Illinois",747,17,031,061500,2021
"Census Tract 618, Cook County, Illinois",509,17,031,061800,2021
"Census Tract 619.01, Cook County, Illinois",1418,17,031,061901,2021
"Census Tract 619.02, Cook County, Illinois",1894,17,031,061902,2021
"Census Tract 620, Cook County, Illinois",1359,17,031,062000,2021
"Census Tract 621, Cook County, Illinois",1287,17,031,062100,2021
"Census Tract 622, Cook County, Illinois",1038,17,031,062200,2021
"Census Tract 623, Cook County, Illinois",390,17,031,062300,2021
"Census Tract 624, Cook County, Illinois",651,17,031,062400,2021
"Census Tract 625, Cook County, Illinois",520,17,031,062500,2021
"Census Tract 626, Cook County, Illinois",680,17,031,062600,2021
"Census Tract 627, Cook County, Illinois",1124,17,031,062700,2021
"Census Tract 628, Cook County, Illinois",1221,17,031,062800,2021
"Census Tract 629, Cook County, Illinois",1479,17,031,062900,2021
"Census Tract 630, Cook County, Illinois",1337,17,031,063000,2021
"Census Tract 631, Cook County, Illinois",902,17,031,063100,2021
"Census Tract 632, Cook County, Illinois",2567,17,031,063200,2021
"Census Tract 633.01, Cook County, Illinois",1011,17,031,063301,2021
"Census Tract 633.02, Cook County, Illinois",1634,17,031,063302,2021
"Census Tract 633.03, Cook County, Illinois",335,17,031,063303,2021
"Census Tract 634, Cook County, Illinois",935,17,031,063400,2021
"Census Tract 8319, Cook County, Illinois",1175,17,031,831900,2021
"Census Tract 8320, Cook County, Illinois",650,17,031,832000,2021
"Census Tract 8321, Cook County, Illinois",1254,17,031,832100,2021
Census Tract 601; Cook County; Illinois,1107,17,031,060100,2022
Census Tract 602; Cook County; Illinois,760,17,031,060200,2022
Census Tract 603; Cook County; Illinois,955,17,031,060300,2022
Census Tract 604; Cook County; Illinois,1331,17,031,060400,2022
Census Tract 605; Cook County; Illinois,390,17,031,060500,2022
Census Tract 608; Cook County; Illinois,1999,17,031,060800,2022
Census Tract 609; Cook County; Illinois,2636,17,031,060900,2022
Census Tract 610; Cook County; Illinois,880,17,031,061000,2022
Census Tract 611; Cook County; Illinois,521,17,031,061100,2022
Census Tract 612; Cook County; Illinois,742,17,031,061200,2022
Census Tract 615; Cook County; Illinois,752,17,031,061500,2022
Census Tract 618; Cook County; Illinois,463,17,031,061800,2022
Census Tract 619.01; Cook County; Illinois,1608,17,031,061901,2022
Census Tract 619.02; Cook County; Illinois,1766,17,031,061902,2022
Census Tract 620; Cook County; Illinois,1264,17,031,062000,2022
Census Tract 621; Cook County; Illinois,1366,17,031,062100,2022
Census Tract 622; Cook County; Illinois,932,17,031,062200,2022
Census Tract 623; Cook County; Illinois,339,17,031,062300,2022
Census Tract 624; Cook County; Illinois,744,17,031,062400,2022
Census Tract 625; Cook County; Illinois,476,17,031,062500,2022
Census Tract 626; Cook County; Illinois,649,17,031,062600,2022
Census Tract 627; Cook County; Illinois,1097,17,031,062700,2022
Census Tract 628; Cook County; Illinois,1386,17,031,062800,2022
Census Tract 629; Cook County; Illinois,1442,17,031,062900,2022
Census Tract 630; Cook County; Illinois,1357,17,031,063000,2022
Census Tract 631; Cook County; Illinois,786,17,031,063100,2022
Census Tract 632; Cook County; Illinois,2649,17,031,063200,2022
Census Tract 633.01; Cook County; Illinois,935,17,031,063301,2022
Census Tract 633.02; Cook County; Illinois,1645,17,031,063302,2022
Census Tract 633.03; Cook County; Illinois,325,17,031,063303,2022
Census Tract 634; Cook County; Illinois,762,17,031,063400,2022
Census Tract 8319; Cook County; Illinois,950,17,031,831900,2022
Census Tract 8320; Cook County; Illinois,726,17,031,832000,2022
Census Tract 8321; Cook County; Illinois,1275,17,031,832100,2022
Census Tract 601; Cook County; Illinois,1046,17,031,060100,2023
Census Tract 602; Cook County; Illinois,905,17,031,060200,2023
Census Tract 603; Cook County; Illinois,1006,17,031,060300,2023
Census Tract 604; Cook County; Illinois,1254,17,031,060400,2023
Census Tract 605; Cook County; Illinois,386,17,031,060500,2023
Census Tract 608; Cook County; Illinois,1901,17,031,060800,2023
Census Tract 609; Cook County; Illinois,2844,17,031,060900,2023
Census Tract 610; Cook County; Illinois,790,17,031,061000,2023
Census Tract 611; Cook County; Illinois,507,17,031,061100,2023
Census Tract 612; Cook County; Illinois,718,17,031,061200,2023
Census Tract 615; Cook County; Illinois,741,17,031,061500,2023
Census Tract 618; Cook County; Illinois,507,17,031,061800,2023
Census Tract 619.01; Cook County; Illinois,1613,17,031,061901,2023
Census Tract 619.02; Cook County; Illinois,1667,17,031,061902,2023
Census Tract 620; Cook County; Illinois,1268,17,031,062000,2023
Census Tract 621; Cook County; Illinois,1308,17,031,062100,2023
Census Tract 622; Cook County; Illinois,996,17,031,062200,2023
Census Tract 623; Cook County; Illinois,371,17,031,062300,2023
Census Tract 624; Cook County; Illinois,716,17,031,062400,2023
Census Tract 625; Cook County; Illinois,543,17,031,062500,2023
Census Tract 626; Cook County; Illinois,653,17,031,062600,2023
Census Tract 627; Cook County; Illinois,1072,17,031,062700,2023
Census Tract 628; Cook County; Illinois,1273,17,031,062800,2023
Census Tract 629; Cook County; Illinois,1598,17,031,062900,2023
Census Tract 630; Cook County; Illinois,1371,17,031,063000,2023
Census Tract 631; Cook County; Illinois,694,17,031,063100,2023
Census Tract 632; Cook County; Illinois,2761,17,031,063200,2023
Census Tract 633.01; Cook County; Illinois,895,17,031,063301,2023
Census Tract 633.02; Cook County; Illinois,1624,17,031,063302,2023
Census Tract 633.03; Cook County; Illinois,363,17,031,063303,2023
Census Tract 634; Cook County; Illinois,837,17,031,063400,2023
Census Tract 8319; Cook County; Illinois,1038,17,031,831900,2023
Census Tract 8320; Cook County; Illinois,671,17,031,832000,2023
Census Tract 8321; Cook County; Illinois,1136,17,031,832100,2023
